domain,band,score,publisher,title,why_this_domain,events,age_hours,url
ai,IMPORTANT,95.6,The Economic Times,OpenAI's Sam Altman to meet with Senate Intelligence Committee's top Democrat,"openai, ai, autonomous",CYBER_ATTACK,8.9,https://economictimes.indiatimes.com/tech/technology/openais-sam-altman-to-meet-with-senate-intelligence-committees-top-democrat/articleshow/132670093.cms
ai,IMPORTANT,95.6,Mint,"Nvidia, Microsoft, SpaceX, Palantir launch AI safety pact after rogue OpenAI cyberattack on Hugging Face","openai, ai, nvidia, ai safety",CYBER_ATTACK,12.51,https://www.livemint.com/companies/news/nvidia-microsoft-spacex-palantir-launch-ai-safety-pact-after-rogue-openai-cyberattack-on-hugging-face-china-ai-curbs-11785164054896.html
ai,IMPORTANT,85.6,The Economic Times,Nvidia in talks with OpenAI to guarantee $250 billion financing for data centre: WSJ,"openai, data centre, nvidia",TRADE_ACTION,27.16,https://economictimes.indiatimes.com/tech/artificial-intelligence/nvidia-in-talks-with-openai-to-guarantee-250-billion-financing-for-data-centre-wsj/articleshow/132650485.cms
ai,WATCH,64.3,Al Jazeera,Nvidia plans $250bn push to bolster OpenAI’s infrastructure ambitions,"openai, ai, nvidia",,7.03,https://www.aljazeera.com/economy/2026/7/27/nvidia-plans-250bn-push-to-bolster-openais-infrastructure-ambitions?traffic_source=rss
ai,BACKGROUND,58.1,The Economic Times,Nvidia to invest $5 billion in Ilya Sutskever's AI startup,"ai, nvidia",,9.71,https://economictimes.indiatimes.com/tech/startups/nvidia-to-invest-5-billion-in-ilya-sutskevers-ai-startup/articleshow/132669106.cms
ai,BACKGROUND,58.0,Insurance Journal,Google Ordered to Defend Robby Starbuck’s AI Defamation Suit,"artificial intelligence, chatbot, ai",,12.24,https://www.insurancejournal.com/news/national/2026/07/27/879194.htm
ai,BACKGROUND,57.4,Claims Journal,Google Ordered to Defend Conservative Activist Starbuck’s AI Defamation Suit,"artificial intelligence, chatbot, ai",,13.82,https://www.claimsjournal.com/news/national/2026/07/27/339086.htm
ai,BACKGROUND,56.4,Mint,A $250 billion AI boost? Nvidia reportedly in talks to back OpenAI’s Ohio data centre project,"openai, ai, data centre, nvidia",,17.15,https://www.livemint.com/ai/artificial-intelligence/a-250-billion-ai-boost-nvidia-reportedly-in-talks-to-back-openai-s-ohio-data-centre-project-11785146521823.html
ai,BACKGROUND,56.1,The Economic Times,Nvidia forms industry alliance for open AI security after Hugging Face hack,"openai, ai, nvidia",,16.92,https://economictimes.indiatimes.com/tech/artificial-intelligence/nvidia-forms-industry-alliance-for-open-ai-security-after-hugging-face-hack/articleshow/132659899.cms
ai,BACKGROUND,55.1,The Economic Times,OpenAI to triple workforce at Dublin European headquarters to 350,"openai, ai",,16.1,https://economictimes.indiatimes.com/tech/artificial-intelligence/openai-to-triple-workforce-at-dublin-european-headquarters-to-350/articleshow/132661032.cms
ai,BACKGROUND,55.1,The Economic Times,Global Market Update | South Korea's Naver jumps 10% on Nvidia's $1 billion investment plan,"ai, data center, nvidia",,23.93,https://economictimes.indiatimes.com/tech/technology/global-market-update-south-koreas-naver-jumps-10-on-nvidias-1-billion-investment-plan/articleshow/132657749.cms
ai,BACKGROUND,54.1,The Economic Times,"Orange, Morrison plan French data centre venture to meet AI demand","ai, data centre",,8.83,https://economictimes.indiatimes.com/tech/technology/orange-morrison-plan-french-data-centre-venture-to-meet-ai-demand/articleshow/132670113.cms
ai,BACKGROUND,54.0,Reinsurance News,Willis urges data centre sector to rethink insurance buying amid AI demand growth,"ai-driven, ai, data center, data centre",,12.16,https://www.reinsurancene.ws/willis-urges-data-centre-sector-to-rethink-insurance-buying-amid-ai-demand-growth/
ai,BACKGROUND,53.3,The Times of India,US firms training AI using Chinese examples: Beijing,"artificial intelligence, ai",,2.7,https://timesofindia.indiatimes.com/business/international-business/us-firms-training-ai-using-chinese-examples-beijing/articleshow/132673221.cms
ai,BACKGROUND,52.7,The Economic Times,India data centre capacity to jump to 12 GW by 2030 as AI fuels demand: Wood Mackenzie,"ai, data centre",,15.28,https://economictimes.indiatimes.com/tech/technology/india-data-centre-capacity-to-jump-to-12-gw-by-2030-as-ai-fuels-demand-wood-mackenzie/articleshow/132662254.cms
economy,IMPORTANT,81.9,The Times of India,Over 500% jump! Why CXMT skyrocketed on stock market debut to become China’s most valuable listed company,"stock, market",IPO,19.93,https://timesofindia.indiatimes.com/business/international-business/over-500-jump-why-cxmt-skyrocketed-on-stock-market-debut-to-become-chinas-most-valuable-listed-company/articleshow/132656165.cms
economy,WATCH,69.1,The Economic Times,Elon Musk's Boring Company seeks funding at $20 billion valuation: WSJ,"valuation, funding, business",FUNDING,74.43,https://economictimes.indiatimes.com/tech/funding/elon-musks-boring-company-seeks-funding-at-20-billion-valuation-wsj/articleshow/132617539.cms
economy,WATCH,60.3,Mint,Tata Teleservices'  ₹4.5k cr impairment a key hit to Tata Sons' profit in FY26,"profit, impairment",,10.94,https://www.livemint.com/companies/tata-teleservices-4-5k-cr-impairment-a-key-hit-to-tata-sons-profit-in-fy26-11785169626831.html
economy,WATCH,60.0,Business Insurance,Reinsurance gains lift Mapfre’s net earnings to $733M,"earnings, net earnings",,13.64,https://www.businessinsurance.com/reinsurance-gains-lift-mapfres-net-earnings-to-733m/
economy,BACKGROUND,57.0,Business Insurance,Munich Re’s second-quarter profit hits $2.5B,"earnings, profit, business",,13.66,https://www.businessinsurance.com/munich-res-second-quarter-profit-hits-2-5b/
economy,BACKGROUND,56.7,Mint,CXMT shares soar 500% in blockbuster stock market debut: What to know about Changxin Technology Group,"stock, market, shares",,17.22,https://www.livemint.com/companies/news/cmxt-changxin-technology-group-chinese-chip-maker-stock-price-jumps-500-pc-most-valuable-company-status-about-ai-benefit-11785143821729.html
economy,BACKGROUND,55.7,Mint,"Tata Sons profit grows 21.8% in FY26, revenue tops  ₹42,367 crore; Air India losses deepen","revenue, profit",,11.56,https://www.livemint.com/companies/company-results/tata-sons-fy26-profit-jumps-21-8-per-cent-to-rs-31-961-crore-as-revenue-rises-9-per-cent-air-india-losses-widen-11785169273992.html
economy,BACKGROUND,55.6,Reinsurance News,Spain & France wildfires likely an earnings event for insurers unless urban areas hit: Morningstar DBRS,"earnings, earnings event",,13.16,https://www.reinsurancene.ws/spain-france-wildfires-likely-an-earnings-event-for-insurers-unless-urban-areas-hit-morningstar-dbrs/
economy,BACKGROUND,55.4,Business Insurance,"Brown & Brown’s Q2 profit rises on fee, commission growth","profit, growth",,6.4,https://www.businessinsurance.com/brown-browns-q2-profit-rises-on-fee-commission-growth/
executive,IMPORTANT,88.5,The Guardian,"Who is Ben Carroll, the man about to become Victoria’s next premier?","succession, leadership, resigns",EXECUTIVE_EXIT,3.79,https://www.theguardian.com/australia-news/2026/jul/27/who-is-ben-carroll-mp-victoria-deputy-premier-faction-jacinta-allan
executive,IMPORTANT,88.2,The Guardian,Ben Carroll to become next premier of Victoria after Jacinta Allan resigns,"leadership, resigns",EXECUTIVE_EXIT,1.54,https://www.theguardian.com/australia-news/2026/jul/28/jacinta-allan-resigns-quits-victoria-premier-leadership-challenge-ben-carroll
executive,IMPORTANT,86.2,The Guardian,Andy Burnham appoints Bridget Phillipson as Labour party chair,"appoints, appointed",ELECTION,7.94,https://www.theguardian.com/politics/2026/jul/27/andy-burnham-appoints-bridget-phillipson-labour-party-chair
executive,WATCH,80.6,Insurance Journal,People Moves: Lara Appoints California Statewide Advisory Board Members,"people moves, appoints, appointed, board",EXECUTIVE_APPOINTMENT,23.16,https://www.insurancejournal.com/news/west/2026/07/27/877972.htm
executive,WATCH,77.6,Mint,Mobileye Founder Stepping Down as CEO After Volatile Run,"chief executive officer, chief executive, ceo, executive",EXECUTIVE_EXIT,46.31,https://www.livemint.com/companies/mobileye-founder-stepping-down-as-ceo-after-volatile-run-11785045096499.html
executive,WATCH,66.1,Insurance Journal,People Moves: Shepherd Insurance Names Kleymeyer as President of Employee Benefits,"people moves, names",EXECUTIVE_APPOINTMENT,83.47,https://www.insurancejournal.com/news/midwest/2026/07/24/878990.htm
executive,WATCH,61.0,Mint,Bankrupt Aquatic Parks Selling Dolphins Amid Fight With Ex-CEO,"chief executive officer, chief executive, ceo, executive",,8.12,https://www.livemint.com/companies/bankrupt-aquatic-parks-selling-dolphins-amid-fight-with-exceo-11785182564510.html
executive,WATCH,59.5,The Times of India,"'Extra payout' to Maharashtra PSU: HDFC board slaps Rs 1 lakh fines on MD, CFO","ceo, cfo, board, executives",,4.42,https://timesofindia.indiatimes.com/business/india-business/extra-payout-to-maharashtra-psu-hdfc-board-slaps-rs-1-lakh-fines-on-md-cfo/articleshow/132672833.cms
executive,BACKGROUND,58.0,Business Insurance,Blackstone to enter India’s general insurance market,"chief executive, managing director, executive",,13.68,https://www.businessinsurance.com/blackstone-to-enter-indias-general-insurance-market/
executive,BACKGROUND,56.4,Insurance Journal,People Moves: World Insurance Names Erfurt National Leader; Landis Joins Ironpeak,"people moves, names",,23.16,https://www.insurancejournal.com/news/east/2026/07/27/878265.htm
executive,BACKGROUND,54.0,Mint,"HDFC Bank CEO and MD, CFO get warning letters,  ₹1 lakh penalty for ‘business overreach’ in MSRDC deposits","ceo, cfo, board",,16.71,https://www.livemint.com/companies/news/hdfc-bank-ceo-md-cfo-rs-1-lakh-penalty-for-business-overreach-employees-warning-letters-msrdc-deposits-internal-review-11785151043491.html
gcc,BACKGROUND,54.4,The Economic Times,"UP targets 10% of new GCCs, sets up advisory board","gcc, gccs",,11.61,https://economictimes.indiatimes.com/tech/technology/up-targets-10-of-new-gccs-sets-up-advisory-board/articleshow/132666312.cms
global,MUST_READ,99.0,Al Jazeera,Hopes of return to diplomacy as US-Iran hold fire for third day,"ceasefire, diplomacy, iran",CONFLICT,7.1,https://www.aljazeera.com/news/2026/7/27/hopes-of-return-to-diplomacy-as-us-iran-hold-fire-for-third-day?traffic_source=rss
global,IMPORTANT,96.6,The Guardian,Asia ‘scraping the bottom of the barrel’ as Red Sea oil blockade worsens energy crisis,"strait of hormuz, houthi, red sea, oil, middle east, hormuz",ENERGY_SHOCK,2.55,https://www.theguardian.com/world/2026/jul/28/asia-energy-oil-crisis-red-sea-blockade-houthis
global,IMPORTANT,83.2,The Times of India,India gets a lower US tariff; here's why textile exporters are still worried,"tariff, tariffs, trade",TRADE_ACTION,18.33,https://timesofindia.indiatimes.com/business/india-business/india-gets-a-lower-us-tariff-heres-why-textile-exporters-are-still-worried/articleshow/132657765.cms
global,WATCH,81.6,The Economic Times,Shein flags tariff hits after posting quarterly loss ahead of Hong Kong IPO,"tariff, china",IPO,36.91,https://economictimes.indiatimes.com/tech/technology/shein-reveals-key-financials-ahead-of-hong-kong-ipo/articleshow/132643567.cms
global,WATCH,70.1,The Guardian,India’s education minister resigns in victory for Cockroach youth movement protests,"minister resigns, prime minister",EXECUTIVE_EXIT,62.26,https://www.theguardian.com/world/2026/jul/25/dharmendra-pradhan-india-education-minister-resigns-cockroach-movement
global,WATCH,62.3,The Guardian,Trump warns of return to ‘strong military action’ if Iran diplomacy fails,"diplomacy, diplomatic, military, iran, middle east",,5.92,https://www.theguardian.com/world/2026/jul/27/trump-warns-return-strong-military-action-iran-diplomacy-fails
global,WATCH,62.3,The Guardian,Trump backs Pete Hegseth amid renewed tensions with Iran – as it happened,"diplomacy, military, tensions, iran, israel, strikes",,2.16,https://www.theguardian.com/us-news/live/2026/jul/27/us-senate-spy-jay-clayton-donald-trump-iran-war-saudi-oman-hormuz-pentagon-seattle-latest-news-updates
