domain,domain_description,band,universal_meaning,what_qualifies_in_this_domain,decision_test,most_likely_mistake
global,"Global Affairs — geopolitics, trade, defence, conflict",MUST_READ,"Changes a decision THIS WEEK. Material, credible, and it would be negligent not to know.","Conflict or sanctions that reprice risk NOW: shipping lanes, energy supply, war-risk premiums, counterparty exposure.",Would an underwriter or CFO change a position this week?,"Treating dramatic coverage as material. A vivid war story with no commercial channel to your book is BACKGROUND, not MUST_READ."
global,"Global Affairs — geopolitics, trade, defence, conflict",IMPORTANT,"Changes how you think. You would want it in the brief, but no action is due today.","Tariffs, trade actions, diplomatic realignment, elections with policy consequences in markets you operate in.",Does it change the operating environment over months?,Under-rating trade policy because it is not violent.
global,"Global Affairs — geopolitics, trade, defence, conflict",WATCH,"A live thread worth tracking. Nothing to do yet, but it could become something.",Tension building without a commercial channel yet. Regional instability adjacent to your exposure.,Could this become MUST_READ within a quarter?,Letting WATCH absorb everything you are unsure about.
global,"Global Affairs — geopolitics, trade, defence, conflict",BACKGROUND,"True and relevant, but inert. It informs context, it does not move anything.","International news with no line to your business — humanitarian, domestic politics elsewhere, disasters outside your exposure.",Is it real news that changes nothing for you?,Confusing 'important to the world' with 'important to this reader'.
global,"Global Affairs — geopolitics, trade, defence, conflict",IGNORE,"You would skip it. Noise, off-domain, or a routine column rather than a development.","Crime, celebrity, sport, human-interest colour on an event you already have.",Would you scroll past it?,Keeping the third eyewitness account of a fire you already know about.
economy,"Economy, Business & Markets",MUST_READ,"Changes a decision THIS WEEK. Material, credible, and it would be negligent not to know.","Central-bank rate decisions, a market shock, a major counterparty in distress, M&A that reshapes your competitive set.","Does it change cost of capital, a counterparty, or the competitive map?",Promoting big numbers. A large profit at an unrelated company is BACKGROUND.
economy,"Economy, Business & Markets",IMPORTANT,"Changes how you think. You would want it in the brief, but no action is due today.",Results that signal a sector turn; sizeable M&A or funding in your adjacency; macro data that shifts the outlook.,Would it change a forecast or a plan?,Treating every earnings release as IMPORTANT.
economy,"Economy, Business & Markets",WATCH,"A live thread worth tracking. Nothing to do yet, but it could become something.","Sector trend pieces, mid-size deals, results with a thesis attached.",Is a pattern forming here?,Using WATCH for anything with a number in it.
economy,"Economy, Business & Markets",BACKGROUND,"True and relevant, but inert. It informs context, it does not move anything.","Routine quarterly results, daily index moves, single-company results outside your set.",Is this just this week's scheduled number?,None — this is where most business coverage correctly lands.
economy,"Economy, Business & Markets",IGNORE,"You would skip it. Noise, off-domain, or a routine column rather than a development.","Q4 previews, rich lists, personal finance, listicles.",Is this a column rather than a development?,Keeping 'preview' pieces because the company matters.
